canonical_smiles,molecule_chembl_id,standard_relation,standard_type,standard_units,units,value,MW,value_nM,class,pIC50
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,CHEMBL12713,=,IC50,nM,nM,14.0,440.9500000000002,14.0,1,7.853871964321762
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,CHEMBL1108,=,IC50,nM,nM,32.2,379.4350000000002,32.2,1,7.492144128304169
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,CHEMBL2368925,=,IC50,nM,nM,5950.0,324.38000000000005,5950.0,1,5.22548303427145
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966,=,IC50,nM,nM,143.0,454.6110000000002,143.0,1,6.844663962534939
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,CHEMBL1107,=,IC50,nM,nM,196.0,500.43200000000013,196.0,1,6.707743928643524
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CHEMBL998,=,IC50,nM,nM,173.0,382.89100000000025,173.0,1,6.761953896871205
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,CHEMBL370805,=,IC50,nM,nM,4.4,303.35800000000006,4.4,1,8.356547323513812
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,CHEMBL708,=,IC50,nM,nM,152.0,412.9460000000002,152.0,1,6.818156412055227
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CHEMBL472,=,IC50,nM,nM,74000.0,494.0130000000003,74000.0,0,4.130768280269024
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,CHEMBL45816,=,IC50,nM,nM,1430.0,495.6390000000002,1430.0,1,5.844663962534939
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,CHEMBL192,=,IC50,nM,nM,100000.0,474.5870000000004,100000.0,0,4.0
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CHEMBL32,=,IC50,nM,nM,129000.0,401.4380000000002,129000.0,0,3.889410289700751
