molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
CHEMBL12713,1,1,0,0,0,3,0,1,440.947,7.294,761.664,293.212,83.169,266.744,118.538,1357.996,1.000,4.000,0.0391812,0.0052517,0.7786351,48.814,13.861,20.711,8.717,5.802,-7.488,-6.655,-7.112,401.892,0.158,911.323,-3.887,8.287,0.737,2,1.406,1,94.566,47.013,0.000,53.329,5,1,26,0,26,7,31,1,0.000
CHEMBL1108,0,1,0,0,0,5,0,1,379.433,5.335,688.755,177.594,125.727,338.396,47.039,1213.372,1.000,6.000,0.0234580,0.0087114,0.7987846,42.426,12.714,19.294,10.822,3.501,-4.768,-4.546,-7.128,158.684,-0.538,135.450,-4.227,8.729,0.849,4,0.516,3,86.833,47.039,0.000,77.075,5,0,21,0,21,3,28,0,0.000
CHEMBL2368925,0,1,0,0,0,2,1,1,324.379,4.883,586.577,257.421,112.191,216.965,0.000,1029.591,0.000,5.000,0.0231582,0.0000000,0.8406521,35.838,10.085,14.703,7.854,2.528,-3.170,-3.210,-5.871,213.250,-0.217,103.000,-4.693,8.605,0.334,2,0.184,3,83.429,0.000,0.000,75.722,5,0,20,0,20,9,24,0,0.004
CHEMBL6966,0,1,0,0,0,14,0,1,454.608,6.826,678.150,557.072,36.750,84.328,0.000,1416.270,0.000,6.500,0.0328995,0.0000000,0.8993662,42.341,12.123,17.312,5.489,4.027,-4.280,-6.384,-4.289,1107.391,-0.185,611.102,-2.618,8.388,-0.121,6,0.396,3,100.000,0.000,0.000,51.629,6,0,12,0,12,0,33,0,0.747
CHEMBL1107,3,1,0,0,0,11,0,2,500.430,1.992,801.252,373.323,13.430,164.009,250.490,1471.548,1.000,3.700,0.0026955,0.0046178,0.7808701,47.241,13.670,19.421,5.625,7.526,-7.605,-7.751,-6.586,1842.638,0.767,10000.000,-2.196,8.868,1.494,2,1.449,1,100.000,117.620,0.000,20.369,2,2,14,0,14,0,33,1,0.000
CHEMBL998,1,0,0,0,0,1,0,1,382.889,2.844,682.131,327.248,58.342,224.927,71.613,1224.661,0.000,3.500,0.0066049,0.0000000,0.8115367,44.363,12.109,16.733,6.540,5.208,-7.460,-6.271,-5.654,2771.014,0.088,3673.559,-1.706,9.136,0.427,5,1.194,1,100.000,0.000,0.000,45.664,4,1,21,0,18,6,27,1,0.000
CHEMBL370805,0,1,0,0,0,3,2,1,303.357,3.276,578.237,321.315,66.550,190.372,0.000,1014.488,0.000,6.000,0.0105784,0.0000000,0.8444171,34.338,9.439,14.251,8.106,2.299,-2.232,-2.070,-5.684,577.702,0.159,302.454,-3.850,9.512,0.380,2,-0.169,3,89.838,0.000,0.000,70.053,5,0,14,0,14,7,22,0,0.203
CHEMBL708,0,1,0,0,0,3,0,1,412.936,5.155,700.050,231.735,112.512,251.158,104.646,1236.191,1.000,6.000,0.0214960,0.0085708,0.7957187,43.791,13.274,19.884,10.627,3.906,-5.545,-5.276,-6.761,211.761,-0.147,382.647,-4.483,8.533,0.876,3,0.661,3,91.444,0.000,0.000,67.357,5,0,24,0,24,5,28,0,0.000
CHEMBL472,3,0,0,0,1,8,0,-2,494.004,12.668,860.828,399.162,168.706,219.514,73.446,1513.685,2.000,6.750,0.1060233,0.0110893,0.7406372,51.383,16.433,25.266,13.353,4.519,-4.823,-6.544,-5.401,190.404,-1.789,277.909,-3.087,9.219,0.779,2,0.657,3,94.209,0.000,14.621,130.491,8,0,18,0,18,6,33,0,0.000
CHEMBL45816,0,1,0,0,0,11,1,1,495.636,5.386,808.994,431.082,57.299,273.606,47.008,1562.377,1.000,7.200,0.0185669,0.0088999,0.8049028,51.922,14.952,22.710,10.063,5.653,-5.460,-6.241,-6.720,707.028,-0.175,680.765,-2.618,8.647,0.210,6,0.962,3,100.000,47.008,0.000,65.607,6,1,19,0,19,4,36,0,0.004
CHEMBL192,0,1,0,0,0,7,0,-2,474.577,7.766,745.901,504.926,167.408,73.159,0.409,1421.888,1.000,11.750,0.0424140,0.0157528,0.8198365,46.954,13.320,23.888,14.645,1.650,-3.015,-4.054,-5.522,63.866,-1.119,28.126,-5.738,8.961,1.074,3,-0.196,3,68.916,0.000,0.000,119.454,10,0,21,0,21,4,33,0,0.001
CHEMBL32,0,1,0,1,0,2,0,0,401.437,10.076,652.096,403.079,166.459,58.296,24.262,1192.676,1.000,6.750,0.0851310,0.0103512,0.8340688,40.849,10.951,19.865,10.498,1.072,-4.872,-4.117,-3.414,16.515,-0.694,11.202,-6.253,8.820,0.923,1,0.293,2,55.017,24.262,0.000,101.692,7,0,22,3,19,10,29,1,0.000
CHEMBL629,3,1,0,0,0,3,0,2,277.408,0.786,584.426,275.682,6.614,302.130,0.000,1023.831,0.000,2.000,0.0006028,0.0000000,0.8405970,35.779,9.885,12.333,4.534,5.034,-4.466,-3.578,-6.278,2138.358,0.719,1244.537,-2.352,8.975,0.082,4,0.928,3,100.000,0.000,0.000,6.104,1,1,15,0,12,2,21,0,0.036
CHEMBL31,0,1,0,1,0,2,0,0,375.399,10.946,613.807,364.454,165.703,54.711,28.939,1123.126,1.000,6.750,0.1066722,0.0109969,0.8513052,38.032,10.263,19.228,10.378,0.665,-4.258,-3.607,-3.118,16.790,-0.612,12.097,-6.251,8.770,0.885,1,0.119,2,52.767,28.939,0.000,99.584,7,0,19,3,16,7,27,1,0.000
